"country","region","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Nigeria","Sub-Saharan Africa","1562","6846","4.3828","122","0","6804","4.3560","270","0"
"North Korea","East Asia","1","3","3.0000","3","3","4","4.0000","4","4"
"North Yemen","Middle East & North Africa","2","0","0.0000","0","0","1","0.5000","1","0"
"Norway","Western Europe","5","77","15.4000","69","0","76","15.2000","60","0"
"Pakistan","South Asia","7245","14040","1.9379","158","0","30949","4.2718","351","0"
"Panama","Central America & Caribbean","48","5","0.1042","1","0","11","0.2292","5","0"
"Papua New Guinea","Australasia & Oceania","35","42","1.2000","17","0","59","1.6857","26","0"
"Paraguay","South America","61","32","0.5246","8","0","43","0.7049","15","0"
"People's Republic of the Congo","Sub-Saharan Africa","2","15","7.5000","15","0","0","0.0000","0","0"
"Peru","South America","2597","5637","2.1706","72","0","2255","0.8683","100","0"
"Philippines","Southeast Asia","2845","3763","1.3227","114","0","7459","2.6218","161","0"
"Poland","Eastern Europe","23","2","0.0870","1","0","18","0.7826","7","0"
"Portugal","Western Europe","65","16","0.2462","7","0","56","0.8615","11","0"
"Qatar","Middle East & North Africa","4","5","1.2500","3","0","12","3.0000","12","0"
"Republic of the Congo","Sub-Saharan Africa","12","13","1.0833","3","0","11","0.9167","5","0"
"Rhodesia","Sub-Saharan Africa","31","100","3.2258","54","0","131","4.2258","78","0"
"Romania","Eastern Europe","4","3","0.7500","2","0","9","2.2500","5","0"
"Russia","Eastern Europe","1145","2601","2.2716","344","0","6166","5.3852","727","0"
"Rwanda","Sub-Saharan Africa","84","2120","25.2381","1180","0","592","7.0476","227","0"
"Saudi Arabia","Middle East & North Africa","156","254","1.6282","23","0","1346","8.6282","386","0"
"Senegal","Sub-Saharan Africa","65","175","2.6923","30","0","159","2.4462","20","0"
"Serbia","Eastern Europe","11","3","0.2727","2","0","9","0.8182","4","0"
"Serbia-Montenegro","Eastern Europe","7","1","0.1429","1","0","5","0.7143","4","0"
"Sierra Leone","Sub-Saharan Africa","40","315","7.8750","40","0","41","1.0250","14","0"
"Singapore","Southeast Asia","4","0","0.0000","0","0","0","0.0000","0","0"
"Slovak Republic","Eastern Europe","10","3","0.3000","1","0","6","0.6000","4","0"
"Slovenia","Eastern Europe","5","1","0.2000","1","0","2","0.4000","1","0"
"Solomon Islands","Australasia & Oceania","2","2","1.0000","1","1","0","0.0000","0","0"
"Somalia","Sub-Saharan Africa","1371","4892","3.5682","588","0","5797","4.2283","316","0"
"South Africa","Sub-Saharan Africa","886","1359","1.5339","53","0","2247","2.5361","173","0"
"South Korea","East Asia","8","1","0.1250","1","0","31","3.8750","30","0"
"South Sudan","Sub-Saharan Africa","77","1160","15.0649","287","0","923","11.9870","400","0"
"South Vietnam","Southeast Asia","1","81","81.0000","81","81","0","0.0000","0","0"
"South Yemen","Middle East & North Africa","1","0","0.0000","0","0","0","0.0000","0","0"
"Soviet Union","Eastern Europe","37","53","1.4324","15","0","88","2.3784","27","0"
"Spain","Western Europe","1531","699","0.4566","73","0","3796","2.4794","450","0"
"Sri Lanka","South Asia","1202","6615","5.5033","200","0","9398","7.8186","1272","0"
"St. Kitts and Nevis","Central America & Caribbean","1","0","0.0000","0","0","9","9.0000","9","9"
"St. Lucia","Central America & Caribbean","1","2","2.0000","2","2","12","12.0000","12","12"
"Sudan","Sub-Saharan Africa","317","1328","4.1893","134","0","937","2.9558","40","0"
"Suriname","South America","21","8","0.3810","4","0","3","0.1429","2","0"
"Swaziland","Sub-Saharan Africa","8","1","0.1250","1","0","2","0.2500","2","0"
"Sweden","Western Europe","76","10","0.1316","5","0","53","0.6974","15","0"
"Switzerland","Western Europe","44","65","1.4773","47","0","74","1.6818","20","0"
"Syria","Middle East & North Africa","760","4661","6.1329","433","0","9391","12.3566","370","0"
"Taiwan","East Asia","20","12","0.6000","8","0","42","2.1000","18","0"
"Tajikistan","Central Asia","120","219","1.8250","27","0","1040","8.6667","800","0"
"Tanzania","Sub-Saharan Africa","30","36","1.2000","11","0","189","6.3000","85","0"
"Thailand","Southeast Asia","1991","1314","0.6600","27","0","4971","2.4967","400","0"
"Togo","Sub-Saharan Africa","25","27","1.0800","13","0","24","0.9600","12","0"
"Trinidad and Tobago","Central America & Caribbean","14","4","0.2857","1","0","3","0.2143","1","0"
"Tunisia","Middle East & North Africa","58","140","2.4138","24","0","252","4.3448","46","0"
"Turkey","Middle East & North Africa","2120","3711","1.7505","77","0","6781","3.1986","235","0"
"Uganda","Sub-Saharan Africa","148","897","6.0608","56","0","629","4.2500","70","0"
"Ukraine","Eastern Europe","681","973","1.4288","298","0","1454","2.1351","140","0"
"United Arab Emirates","Middle East & North Africa","10","3","0.3000","1","0","9","0.9000","3","0"
"United Kingdom","Western Europe","1619","939","0.5800","270","0","3895","2.4058","340","0"
"United States","North America","1693","575","0.3396","168","0","2876","1.6988","851","0"
"Uruguay","South America","36","1","0.0278","1","0","3","0.0833","2","0"
"Uzbekistan","Central Asia","16","61","3.8125","23","0","199","12.4375","34","0"
"Venezuela","South America","125","90","0.7200","26","0","158","1.2640","30","0"
"Vietnam","Southeast Asia","6","0","0.0000","0","0","27","4.5000","21","0"
"West Bank and Gaza Strip","Middle East & North Africa","964","628","0.6515","48","0","1689","1.7521","200","0"
"West Germany (FRG)","Western Europe","158","16","0.1013","3","0","372","2.3544","230","0"
"Western Sahara","Middle East & North Africa","1","0","0.0000","0","0","1","1.0000","1","1"
"Yemen","Middle East & North Africa","1199","3537","2.9500","110","0","5526","4.6088","215","0"
"Yugoslavia","Eastern Europe","115","65","0.5652","20","0","147","1.2783","40","0"
"Zaire","Sub-Saharan Africa","19","59","3.1053","28","0","141","7.4211","50","0"
"Zambia","Sub-Saharan Africa","38","43","1.1316","15","0","37","0.9737","20","0"
"Zimbabwe","Sub-Saharan Africa","44","46","1.0455","7","0","94","2.1364","25","0"
