"aid","tid","gid","wid","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1","10","1743","17","3","1","0.3333","1","0","3","1.0000","3","0"
"1","10","1835","18","2","2","1.0000","1","1","0","0.0000","0","0"
"1","10","1835","21","1","2","2.0000","2","2","0","0.0000","0","0"
"1","10","1861","17","8","9","1.1250","3","0","1","0.1250","1","0"
"1","10","2087","21","1","5","5.0000","5","5","7","7.0000","7","7"
"1","10","2131","4","1","0","0.0000","0","0","0","0.0000","0","0"
"1","10","2149","17","7","77","11.0000","35","0","0","0.0000","0","0"
"1","10","2149","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","10","2149","21","13","31","2.3846","11","0","14","1.0769","4","0"
"1","10","2221","17","1","2","2.0000","2","2","0","0.0000","0","0"
"1","11","108","17","1","2","2.0000","2","2","1","1.0000","1","1"
"1","11","131","17","1","0","0.0000","0","0","1","1.0000","1","1"
"1","11","177","24","1","0","0.0000","0","0","0","0.0000","0","0"
"1","11","410","10","1","3","3.0000","3","3","0","0.0000","0","0"
"1","11","771","4","1","0","0.0000","0","0","2","2.0000","2","2"
"1","11","810","17","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1","11","863","17","1","2","2.0000","2","2","0","0.0000","0","0"
"1","11","951","21","2","13","6.5000","10","3","6","3.0000","6","0"
"1","11","1129","17","2","3","1.5000","3","0","1","0.5000","1","0"
"1","11","1229","17","2","2","1.0000","2","0","0","0.0000","0","0"
"1","11","1236","21","2","0","0.0000","0","0","1","0.5000","1","0"
"1","11","1309","17","1","1","1.0000","1","1","0","0.0000","0","0"
"1","11","1309","21","1","3","3.0000","3","3","5","5.0000","5","5"
"1","11","1322","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","11","1375","17","1","6","6.0000","6","6","4","4.0000","4","4"
"1","11","1387","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","11","1387","20","1","2","2.0000","2","2","0","0.0000","0","0"
"1","11","1411","21","1","1","1.0000","1","1","3","3.0000","3","3"
"1","11","1430","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","11","1430","21","2","0","0.0000","0","0","1","0.5000","1","0"
"1","11","1438","21","1","6","6.0000","6","6","1","1.0000","1","1"
"1","11","1714","20","1","2","2.0000","2","2","0","0.0000","0","0"
"1","11","1805","25","1","3","3.0000","3","3","7","7.0000","7","7"
"1","11","1935","21","1","6","6.0000","6","6","9","9.0000","9","9"
"1","11","1975","10","2","2","1.0000","2","0","5","2.5000","5","0"
"1","11","1975","23","1","0","0.0000","0","0","0","0.0000","0","0"
"1","11","2060","10","1","0","0.0000","0","0","0","0.0000","0","0"
"1","11","2121","21","1","1","1.0000","1","1","0","0.0000","0","0"
"1","11","2149","17","3","19","6.3333","18","0","5","1.6667","5","0"
