"gname","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Adivasi People's Army (APA)","2","0","0.0000","0","0","100","50.0000","100","0"
"Afar Revolutionary Democratic Unity Front","1","0","0.0000","0","0","0","0.0000","0","0"
"Afghan Guerrillas","7","32","4.5714","14","0","35","5.0000","28","0"
"Afghan Mujahideen","4","0","0.0000","0","0","0","0.0000","0","0"
"Afghan Rebels","2","27","13.5000","23","4","13","6.5000","13","0"
"Afghan War Veterans","1","0","0.0000","0","0","0","0.0000","0","0"
"Afghans","1","42","42.0000","42","42","100","100.0000","100","100"
"African National Congress (South Africa)","201","238","1.1841","53","0","796","3.9602","173","0"
"African-American extremists","1","0","0.0000","0","0","0","0.0000","0","0"
"Afrikaner Resistance Movement (AWB)","3","4","1.3333","4","0","80","26.6667","80","0"
"Afrin Falcons","1","1","1.0000","1","1","13","13.0000","13","13"
"AGEL","1","0","0.0000","0","0","0","0.0000","0","0"
"Agwelek Forces","1","56","56.0000","56","56","0","0.0000","0","0"
"Ahfad al-Sahaba-Aknaf Bayt al-Maqdis","2","0","0.0000","0","0","0","0.0000","0","0"
"Ahle Sunnat Wal Jamaat (ASWJ-Pakistan)","1","2","2.0000","2","2","0","0.0000","0","0"
"Ahlu-sunah Wal-jamea (Somalia)","1","1","1.0000","1","1","2","2.0000","2","2"
"Ahmad Jibril","1","98","98.0000","98","98","160","160.0000","160","160"
"Ahneish Militia","2","0","0.0000","0","0","0","0.0000","0","0"
"Ahrar Al-Jalil (Free People of the Galilee)","1","2","2.0000","2","2","12","12.0000","12","12"
"Ahrar al-Sham","7","24","3.4286","9","0","19","2.7143","19","0"
"Aidid Militia","1","0","0.0000","0","0","0","0.0000","0","0"
"Aisha Umm-al Mouemeneen (Brigades of Aisha)","1","30","30.0000","30","30","300","300.0000","300","300"
"Aitarak Militia","1","0","0.0000","0","0","0","0.0000","0","0"
